,Model_Name,Enocding_Type,Clustering_Algorithm,Clusters,Silhouette_Score,Survival_Pval,Cluster_score
13,L3CGConv,fpdnmf,AGGLOMERATIVE_CLUSTERING,3,0.4887830640854761,0.5263537775743805,0.10067888928766389
14,L3CGConv,fpdnmf,AGGLOMERATIVE_CLUSTERING,4,0.49334377966029463,0.5361042441393178,0.027854547583782117
15,L3CGConv,fpdnmf,AGGLOMERATIVE_CLUSTERING,5,0.4978957934422585,0.6843834170371266,0.023684186820198187
16,L3CGConv,fpdnmf,AGGLOMERATIVE_CLUSTERING,6,0.4936693813520031,0.5554085016381706,0.016335731488717312
17,L3CGConv,fpdnmf,BRICH,2,0.48752352595329285,0.10635120417080643,0.1546642116791797
18,L3CGConv,fpdnmf,BRICH,3,0.5059943795204163,0.21134488935194043,0.09406180035801724
19,L3CGConv,fpdnmf,BRICH,4,0.4818776249885559,0.3176054033349407,0.028568076109796545
20,L3CGConv,fpdnmf,BRICH,5,0.5034070014953613,0.4350538533267171,0.02447739591875072
21,L3CGConv,fpdnmf,BRICH,6,0.5177966356277466,0.5626641664520665,0.018266564729802315
22,L3CGConv,fpdnmf,DBSCAN,5,-0.301112326094785,0.5135627920103663,0.01344047331044768
23,L3CGConv,fpdnmf,MEANSHIFT,3,0.5111035712223954,0.26145256170708125,0.010843409404774915
24,L3CGConv,fpdnmf,SPECTRAL_CLUSTERING,2,0.5687899616788615,0.19640268726439927,0.2276789257313376
25,L3CGConv,fpdnmf,SPECTRAL_CLUSTERING,3,0.4715052039840796,0.17153605602159738,0.036707500705838066
26,L3CGConv,fpdnmf,SPECTRAL_CLUSTERING,4,0.2059218837600264,0.0564314363587675,0.028942240617095213
27,L3CGConv,fpdnmf,SPECTRAL_CLUSTERING,5,-0.016224814624849534,0.10881438189460835,0.00350143978815849
28,L3CGConv,fpdnmf,SPECTRAL_CLUSTERING,6,-0.01982309134704859,0.17876229353384776,0.0018634352948887335
29,L3CGConv,fpdnmf,GAUSSIAN_MIXTURE,2,0.5275536966597513,0.16202596061214267,0.23218679068586212
30,L3CGConv,fpdnmf,GAUSSIAN_MIXTURE,3,0.5078377862194966,0.28763038750482645,0.0424923636851318
31,L3CGConv,fpdnmf,GAUSSIAN_MIXTURE,4,0.46711147159159366,0.5017525331515831,0.03425574149167039
32,L3CGConv,fpdnmf,GAUSSIAN_MIXTURE,5,0.4415878849205691,0.5518259650124231,0.027057831388286387
33,L3CGConv,fpdnmf,GAUSSIAN_MIXTURE,6,0.42778976977338634,0.7278219325007814,0.007278123567414801
0,L3CGConv,pnmf,KMEANS,2,0.7726923857830481,0.24731967714857184,0.0308566530689989
1,L3CGConv,pnmf,KMEANS,3,0.6039032093275362,0.475608263555395,0.023026113706225926
2,L3CGConv,pnmf,KMEANS,4,0.4040651478765404,0.5424514108335496,0.015731729817651415
3,L3CGConv,pnmf,KMEANS,5,0.39021287545801225,0.35086574009779414,0.010772772380474327
4,L3CGConv,pnmf,KMEANS,6,0.38767609780439355,0.22462880361449325,0.004377766489211323
5,L3CGConv,pnmf,PAM,2,0.675287663936615,0.952185804903991,0.10825224996428627
6,L3CGConv,pnmf,PAM,3,0.7346566915512085,0.1766210465706428,0.012029302146253694
7,L3CGConv,pnmf,PAM,4,0.4077334702014923,0.6154582717907011,0.03227775484204314
8,L3CGConv,pnmf,PAM,5,0.42436352372169495,0.5596583879322372,0.015765631265089532
9,L3CGConv,pnmf,PAM,6,0.4026380479335785,0.026988872129992972,0.002658824275583047
10,L3CGConv,pnmf,COMMONNN,4,0.634055138813219,0.8755533502760307,0.004531364643405981
11,L3CGConv,pnmf,AFFINITY_PROPAGATION,5,0.7726642489433289,6.697169446928142e-49,0.0017043738403785579
12,L3CGConv,pnmf,AGGLOMERATIVE_CLUSTERING,2,0.7726923857830481,0.24731967714857184,0.0308566530689989
13,L3CGConv,pnmf,AGGLOMERATIVE_CLUSTERING,3,0.7435411679475783,0.3670984443673511,0.012102197464131983
14,L3CGConv,pnmf,AGGLOMERATIVE_CLUSTERING,4,0.39503261820089003,0.31209746266847466,0.011509147891910728
15,L3CGConv,pnmf,AGGLOMERATIVE_CLUSTERING,5,0.39734177146594146,0.46252362197776675,0.009900956990141832
16,L3CGConv,pnmf,AGGLOMERATIVE_CLUSTERING,6,0.3480207849439753,0.2256074267733255,0.00944365623049134
17,L3CGConv,pnmf,BRICH,2,0.7644075155258179,0.9372759450329676,0.06996714337867653
18,L3CGConv,pnmf,BRICH,3,0.7267256379127502,0.2230270764905947,0.012412302446436277
19,L3CGConv,pnmf,BRICH,4,0.7090061902999878,0.3409132579193488,0.0071874244855724845
20,L3CGConv,pnmf,BRICH,5,0.4676007926464081,0.2878670789409688,0.006697808781118521
21,L3CGConv,pnmf,BRICH,6,0.4676927626132965,0.23802939505419854,0.0023740606690630535
22,L3CGConv,pnmf,DBSCAN,2,0.7486191876802617,0.7500565867002483,0.049110331582038376
23,L3CGConv,pnmf,MEANSHIFT,8,0.5774381076125287,3.5447673651131854e-46,0.0008348475748520577
24,L3CGConv,pnmf,SPECTRAL_CLUSTERING,2,0.7726923857830481,0.24731967714857184,0.0308566530689989
25,L3CGConv,pnmf,SPECTRAL_CLUSTERING,3,0.22382809617861685,0.4006369449715106,0.02773742190873452
26,L3CGConv,pnmf,SPECTRAL_CLUSTERING,4,-0.314889057462188,0.5842109501287225,0.003483569432968437
27,L3CGConv,pnmf,SPECTRAL_CLUSTERING,5,-0.3204801665806444,0.6436355063158272,0.0018580493282462688
28,L3CGConv,pnmf,SPECTRAL_CLUSTERING,6,-0.3186002814562984,0.7273312233505668,0.0012671985270170968
29,L3CGConv,pnmf,GAUSSIAN_MIXTURE,2,0.7726923857830481,0.24731967714857184,0.0308566530689989
30,L3CGConv,pnmf,GAUSSIAN_MIXTURE,3,0.6027869855583946,0.3784166651549401,0.022768754543975145
31,L3CGConv,pnmf,GAUSSIAN_MIXTURE,4,0.31079420385978834,0.18981438675352957,0.01983253576434147
32,L3CGConv,pnmf,GAUSSIAN_MIXTURE,5,0.3371925959471591,0.27525197796475254,0.014957410214151793
33,L3CGConv,pnmf,GAUSSIAN_MIXTURE,6,0.3277069650795646,0.08967778417884309,0.004800243994302576
0,L3CGConv,gnmf,KMEANS,2,0.5252362093484879,0.41005431383125623,0.18190187457341947
1,L3CGConv,gnmf,KMEANS,3,0.6059874734305701,0.6606230695389975,0.03341184806270374
2,L3CGConv,gnmf,KMEANS,4,0.5479134998842692,0.5163516939251154,0.013185133888707757
3,L3CGConv,gnmf,KMEANS,5,0.5693156383139906,0.4949122904897111,0.0094023166833761
